PROVNO,KABKOTNO,PROVINSI,KABKOT;;;;;;,,,,,,,
13,10,SUMATERA BARAT,SOLOK SELATAN,1144002,101.250185,-1.416624;;;;;;,,,,
13,11,SUMATERA BARAT,DHARMASRAYA,1144002,101.582284,-1.096807;;;;;;,,,,
13,12,SUMATERA BARAT,PASAMAN BARAT,1144002,99.659875,0.218171;;;;;;,,,,
13,71,SUMATERA BARAT,PADANG,1144041,100.435495,-0.872160;;;;;;,,,,
13,72,SUMATERA BARAT,SOLOK,1144041,100.810365,-0.961851;;;;;;,,,,
13,73,SUMATERA BARAT,SAWAH LUNTO,1144041,100.750438,-0.648424;;;;;;,,,,
13,74,SUMATERA BARAT,PADANG PANJANG,1144041,100.40829,-0.466098;;;;;;,,,,
13,75,SUMATERA BARAT,BUKITTINGGI,1144041,100.373621,-0.300860;;;;;;,,,,
13,76,SUMATERA BARAT,PAYAKUMBUH,1144041,100.627259,-0.224174;;;;;;,,,,
13,77,SUMATERA BARAT,PARIAMAN,1144041,100.135246,-0.601828;;;;;;,,,,
13,88,SUMATERA BARAT,DANAU,1144041,100.536244,-0.607622;;;;;;,,,,
14,1,RIAU,KUANTAN SINGINGI,1144041,101.4489,-0.444357;;;;;;,,,,
14,2,RIAU,INDRAGIRI HULU,1144041,102.292196,-0.539225;;;;;;,,,,
14,3,RIAU,INDRAGIRI HILIR,1144033,103.224913,-0.179860;;;;;;,,,,
14,4,RIAU,PELALAWAN,1144033,102.245931,0.243687;;;;;;,,,,
14,5,RIAU,S I A K,1144033,101.805764,0.806023;;;;;;,,,,
14,6,RIAU,KAMPAR,1144033,101.121585,0.364270;;;;;;,,,,
14,7,RIAU,ROKAN HULU,1144033,100.482103,0.953634;;;;;;,,,, 
14,8,RIAU,BENGKALIS,1144033,101.687431,1.371394;;;;;;,,,,
14,9,RIAU,ROKAN HILIR,1144033,100.772193,1.804440;;;;;;,,,,
14,10,RIAU,KEPULAUAN MERANTI,1144033,102.602121,0.997156;;;;;;,,,,
14,71,RIAU,PEKANBARU,1144033,101.471132,0.555383;;;;;;,,,,
14,73,RIAU,D U M A I,1144033,101.315122,1.816591;;;;;;,,,,
15,1,JAMBI,KERINCI,1144064,101.499195,-2.019962;;;;;;,,,,
15,2,JAMBI,MERANGIN,1144064,102.072204,-2.187742;;;;;;,,,,
15,3,JAMBI,SAROLANGUN,1144064,102.661627,-2.315728;;;;;;,,,,
15,4,JAMBI,BATANG HARI,1144064,103.09781,-1.674589;;;;;;,,,,
15,5,JAMBI,MUARO JAMBI,1144064,103.848284,-1.567587;;;;;;,,,,
15,6,JAMBI,TANJUNG JABUNG TIMUR,1144064,103.953797,-1.139533;;;;;;,,,,
15,7,JAMBI,TANJUNG JABUNG BARAT,1144064,103.101838,-1.077473;;;;;;,,,,
15,8,JAMBI,TEBO,1144064,102.397129,-1.277099;;;;;;,,,,
15,9,JAMBI,BUNGO,1144064,101.920422,-1.611773;;;;;;,,,,
15,71,JAMBI,JAMBI,1144064,103.604718,-1.620044;;;;;;,,,,
15,72,JAMBI,SUNGAI PENUH,1144115,101.406075,-2.060190;;;;;;,,,,
16,1,SUMATERA SELATAN,OGAN KOMERING ULU,1144115,101.406075,-2.060190;;;;;;,,,,
16,2,SUMATERA SELATAN,OGAN KOMERING ILIR,1144115,104.06112,-4.072110;;;;;;,,,,
16,3,SUMATERA SELATAN,MUARA ENIM,1144115,105.392061,-3.288750;;;;;;,,,,
16,4,SUMATERA SELATAN,LAHAT,1144115,103.87669,-3.732487;;;;;;,,,,
16,5,SUMATERA SELATAN,MUSI RAWAS,1144115,103.13909,-3.090029;;;;;;,,,,
16,6,SUMATERA SELATAN,MUSI BANYUASIN,1144115,103.769786,-2.377716;;;;;;,,,,
16,7,SUMATERA SELATAN,BANYUASIN,1144115,104.632429,-2.634554;;;;;;,,,,
16,8,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1144115,103.905171,-4.578598;;;;;;,,,,
16,9,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1144115,104.565937,-4.056827;;;;;;,,,,
16,10,SUMATERA SELATAN,OGAN ILIR,1144028,104.58197,-3.411395;;;;;;,,,,
16,11,SUMATERA SELATAN,EMPAT LAWANG,1144028,102.965648,-3.697815;;;;;;,,,,
16,12,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1144028,103.982556,-3.264579;;;;;;,,,,
16,13,SUMATERA SELATAN,MUSI RAWAS UTARA,1144028,102.661855,-2.667663;;;;;;,,,,
16,71,SUMATERA SELATAN,PALEMBANG,1144028,104.750258,-2.974167;;;;;;,,,,
16,72,SUMATERA SELATAN,PRABUMULIH,1144028,104.234623,-3.422126;;;;;;,,,,
16,73,SUMATERA SELATAN,PAGAR ALAM,1144028,103.219056,-4.042023;;;;;;,,,,
16,74,SUMATERA SELATAN,LUBUKLINGGAU,1144028,102.857377,-3.297414;;;;;;,,,,
16,88,SUMATERA SELATAN,DANAU,1144028,103.916321,-4.828078;;;;;;,,,,
17,1,BENGKULU,BENGKULU SELATAN,1144028,103.021079,-4.334965;;;;;;,,,,
17,2,BENGKULU,REJANG LEBONG,1144051,102.678929,-3.439491;;;;;;,,,,
17,3,BENGKULU,BENGKULU UTARA,1144051,101.98723,-3.278322;;;;;;,,,,
17,4,BENGKULU,KAUR,1144051,103.393361,-4.641259;;;;;;,,,,
17,5,BENGKULU,SELUMA,1144051,102.652754,-4.040548;;;;;;,,,,
17,6,BENGKULU,MUKOMUKO,1144051,101.444109,-2.675844;;;;;;,,,,
17,7,BENGKULU,LEBONG,1144051,102.217841,-3.071741;;;;;;,,,,
17,8,BENGKULU,KEPAHIANG,1144051,102.645614,-3.628337;;;;;;,,,,
17,9,BENGKULU,BENGKULU TENGAH,1144051,102.413331,-3.695602;;;;;;,,,,
17,71,BENGKULU,BENGKULU,1144051,102.302172,-3.824315;;;;;;,,,,
18,1,LAMPUNG,LAMPUNG BARAT,1144051,104.187577,-5.037602;;;;;;,,,,
18,2,LAMPUNG,TANGGAMUS,1144049,104.57534,-5.429636;;;;;;,,,,
18,3,LAMPUNG,LAMPUNG SELATAN,1144049,105.476069,-5.491557;;;;;;,,,,
18,4,LAMPUNG,LAMPUNG TIMUR,1144049,105.517748,-5.084708;;;;;;,,,,
18,5,LAMPUNG,LAMPUNG TENGAH,1144049,105.204016,-4.871163;;;;;;,,,,
18,6,LAMPUNG,LAMPUNG UTARA,1144049,104.843685,-4.778225;;;;;;,,,,
18,7,LAMPUNG,WAY KANAN,1144049,104.585361,-4.489734;;;;;;,,,,
18,8,LAMPUNG,TULANGBAWANG,1144049,105.500304,-4.336239;;;;;;,,,,
18,9,LAMPUNG,PESAWARAN,1144049,105.093154,-5.490262;;;;;;,,,,
18,10,LAMPUNG,PRINGSEWU,1144049,104.920059,-5.325281;;;;;;,,,,
18,11,LAMPUNG,MESUJI,1144049,105.37077,-3.978137;;;;;;,,,,
18,12,LAMPUNG,TULANG BAWANG BARAT,1144124,105.092256,-4.457518;;;;;;,,,,
18,13,LAMPUNG,PESISIR BARAT,1144125,104.161716,-5.331558;;;;;;,,,,
18,71,LAMPUNG,BANDAR LAMPUNG,1144125,105.26713,-5.416955;;;;;;,,,,
18,72,LAMPUNG,METRO,1144125,105.309897,-5.122207;;;;;;,,,,
18,88,LAMPUNG,DANAU,1144125,103.893686,-4.913788;;;;;;,,,,
19,1,KEPULAUAN BANGKA BELITUNG,BANGKA,1144125,105.949875,-1.901237;;;;;;,,,,
19,2,KEPULAUAN BANGKA BELITUNG,BELITUNG,1144125,106.885438,-2.976806;;;;;;,,,,
19,3,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1144125,105.486902,-1.888498;;;;;;,,,,
19,4,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1144125,106.096804,-2.431430;;;;;;,,,,
19,5,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1144125,106.323839,-2.760374;;;;;;,,,,
19,6,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1144067,108.1428669,-2.8678037;;;;;;,,,,
19,71,KEPULAUAN BANGKA BELITUNG,PANGKAL PINANG,1144067,106.1169299,-2.1316266;;;;;;,,,,
21,1,KEPULAUAN RIAU,KARIMUN,1144067,103.4049445,0.7697664999999999;;;;;;,,,,
21,2,KEPULAUAN RIAU,BINTAN,1144067,104.5189214,1.0619173;;;;;;,,,,
21,3,KEPULAUAN RIAU,NATUNA,1144067,108.1428669,3.9456514;;;;;;,,,,
21,4,KEPULAUAN RIAU,LINGGA,1144067,104.4257533,-0.4726065;;;;;;,,,,
21,5,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,1144067,105.7585908,2.923624;;;;;;,,,,
21,71,KEPULAUAN RIAU,B A T A M,1144067,103.98402,1.0458378;;;;;;,,,,
21,72,KEPULAUAN RIAU,TANJUNG PINANG,1144067,104.4665072,0.9185504;;;;;;,,,,
31,1,DKI JAKARTA,KEPULAUAN SERIBU,1144067,106.5071982,-5.798526600000001;;;;;;,,,,
31,71,DKI JAKARTA,JAKARTA SELATAN ,1144123,106.810658,-6.267380;;;;;;,,,,
31,72,DKI JAKARTA,JAKARTA TIMUR,1144123,106.886468,-6.258399;;;;;;,,,,
31,73,DKI JAKARTA,JAKARTA PUSAT,1144123,106.832002,-6.179923;;;;;;,,,,
31,74,DKI JAKARTA,JAKARTA BARAT,1144123,106.75245,-6.169721;;;;;;,,,,
31,75,DKI JAKARTA,JAKARTA UTARA,1144123,106.84326,-6.128358;;;;;;,,,,
32,1,JAWA BARAT,BOGOR,1144123,106.797564,-6.587579;;;;;;,,,,
32,2,JAWA BARAT,SUKABUMI,1144123,106.926064,-6.938205;;;;;;,,,,
32,3,JAWA BARAT,CIANJUR,1144123,107.124728,-7.077573;;;;;;,,,,
32,4,JAWA BARAT,BANDUNG,1144123,107.646049,-7.071566;;;;;;,,,,
32,5,JAWA BARAT,GARUT,1144123,107.813805,-7.303740;;;;;;,,,,
32,6,JAWA BARAT,TASIKMALAYA;;;;;;,,,,,,,
32,7,JAWA BARAT,CIAMIS;;;;;;,,,,,,,
32,8,JAWA BARAT,KUNINGAN;;;;;;,,,,,,,
32,9,JAWA BARAT,CIREBON;;;;;;,,,,,,,
32,10,JAWA BARAT,MAJALENGKA;;;;;;,,,,,,,
32,11,JAWA BARAT,SUMEDANG;;;;;;,,,,,,,
32,12,JAWA BARAT,INDRAMAYU;;;;;;,,,,,,,
32,13,JAWA BARAT,SUBANG;;;;;;,,,,,,,
32,14,JAWA BARAT,PURWAKARTA;;;;;;,,,,,,,
32,15,JAWA BARAT,KARAWANG;;;;;;,,,,,,,
32,16,JAWA BARAT,BEKASI;;;;;;,,,,,,,
32,17,JAWA BARAT,BANDUNG BARAT;;;;;;,,,,,,,
32,18,JAWA BARAT,PANGANDARAN;;;;;;,,,,,,,
32,71,JAWA BARAT,BOGOR;;;;;;,,,,,,,
32,72,JAWA BARAT,SUKABUMI;;;;;;,,,,,,,
32,73,JAWA BARAT,BANDUNG;;;;;;,,,,,,,
32,74,JAWA BARAT,CIREBON;;;;;;,,,,,,,
32,75,JAWA BARAT,BEKASI;;;;;;,,,,,,,
32,76,JAWA BARAT,DEPOK;;;;;;,,,,,,,
32,77,JAWA BARAT,CIMAHI;;;;;;,,,,,,,
32,78,JAWA BARAT,TASIKMALAYA,1144089,108.221763,-7.341521,,,,
32,79,JAWA BARAT,BANJAR,1144089,108.534659,-7.371715,,,,
32,88,JAWA BARAT,WADUK CIRA,1144089,107.268667,-6.75995,,,,
33,1,JAWA TENGAH,CILACAP,1144089,109.022556,-7.700959,,,,
33,2,JAWA TENGAH,BANYUMAS,1144089,109.099209,-7.412765,,,,
33,3,JAWA TENGAH,PURBALINGGA,1144089,109.360424,-7.386681,,,,
33,4,JAWA TENGAH,BANJARNEGARA,1144089,109.540683,-7.446158,,,,
33,5,JAWA TENGAH,KEBUMEN,1144089,109.660262,-7.671469,,,,
33,6,JAWA TENGAH,PURWOREJO,1144089,110.009113,-7.713267,,,,
33,7,JAWA TENGAH,WONOSOBO,1144089,109.897408,-7.370507,,,,
33,8,JAWA TENGAH,MAGELANG;;;;;;,1144017,110.1825047,-7.4729674,,,,
33,9,JAWA TENGAH,BOYOLALI;;;;;;,1144017,110.5624369,-7.5178785,,,,
33,10,JAWA TENGAH,KLATEN;;;;;;,1144017,110.583719,-7.7169304,,,,
33,11,JAWA TENGAH,SUKOHARJO;;;;;;,1144017,110.7915398,-7.6746436,,,,
33,12,JAWA TENGAH,WONOGIRI;;;;;;,1144017,110.8801827,-7.7997892,,,,
33,13,JAWA TENGAH,KARANGANYAR;;;;;;,1144017,110.9866333,-7.6070423,,,,
33,14,JAWA TENGAH,SRAGEN;;;;;;,,,,,,,
33,15,JAWA TENGAH,GROBOGAN;;;;;;,,,,,,,
33,16,JAWA TENGAH,BLORA;;;;;;,,,,,,,
33,17,JAWA TENGAH,REMBANG;;;;;;,,,,,,,
33,18,JAWA TENGAH,PATI;;;;;;,,1144091,111.035644,-6.749004,,,
33,19,JAWA TENGAH,KUDUS;;;;;;,,1144091,110.874834,-6.768993,,,
33,20,JAWA TENGAH,JEPARA;;;;;;,,1144091,110.791058,-6.582443,,,
33,21,JAWA TENGAH,DEMAK;;;;;;,,1144091,110.636269,-6.895762,,,
33,22,JAWA TENGAH,SEMARANG;;;;;;,,1144091,110.428458,-6.999214,,,
33,23,JAWA TENGAH,TEMANGGUNG;;;;;;,,1144091,110.117773,-7.239196,,,
33,24,JAWA TENGAH,KENDAL;;;;;;,,1144091,110.155868,-6.984265,,,
33,25,JAWA TENGAH,BATANG;;;;;;,,1144091,109.866806,-7.015625,,,
33,26,JAWA TENGAH,PEKALONGAN;;;;;;,,1144091,109.673988,-6.891339,,,
33,27,JAWA TENGAH,PEMALANG;;;;;;,,1144091,109.392345,-7.021363,,,
33,28,JAWA TENGAH,TEGAL;;;1144059;109.123.720;-6.878.921;,,,,,,,
33,29,JAWA TENGAH,BREBES;;;1144059;108.884.346;-7.013.345;,,,,,,,
33,71,JAWA TENGAH,MAGELANG;;;;1144059;110.223.011;-7.481.218,,,,,,,
33,72,JAWA TENGAH,SURAKARTA;;;;1144059;110.823.955;-7.574.859,,,,,,,
33,73,JAWA TENGAH,SALATIGA;;;;1144059;110.503.626;-7.331.238,,,,,,,
33,74,JAWA TENGAH,SEMARANG;;;;1144059;110.429.121;-7.001.583,,,,,,,
33,75,JAWA TENGAH,PEKALONGAN;;;;1144059;109.673.467;-6.889.120,,,,,,,
33,76,JAWA TENGAH,TEGAL;;;;1144059;109.673.467;-6.889.120,,,,,,,
33,88,JAWA TENGAH,WADUK KEDU;;;;1144059;109.485.088;-7.560.118,,,,,,,
33,99,JAWA TENGAH,HUTAN;;;;1144059;110.354.836;-7.168.365,,,,,,,
34,1,DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO;;;;;;,,,,,,,
34,2,DAERAH ISTIMEWA YOGYAKARTA,BANTUL;;;;;;,,,,,,,
34,3,DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL;;;;;;,,,,,,,
34,4,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN;;;;;;,,,,,,,
34,71,DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA;;;;;;,,,,,,,
35,1,JAWA TIMUR,PACITAN;;;;;;,,,,,,,
35,2,JAWA TIMUR,PONOROGO;;;;;;,,,,,,,
35,3,JAWA TIMUR,TRENGGALEK;;;;;;,,,,,,,
35,4,JAWA TIMUR,TULUNGAGUNG;;;;;;,,,,,,,
35,5,JAWA TIMUR,BLITAR;;;;;;,,,,,,,
35,6,JAWA TIMUR,KEDIRI;;;;;;,,,,,,,
35,7,JAWA TIMUR,MALANG;;;;;;,,,,,,,
35,8,JAWA TIMUR,LUMAJANG;;;;;;,,,,,,,
35,9,JAWA TIMUR,JEMBER;;;;;;,,,,,,,
35,10,JAWA TIMUR,BANYUWANGI;;;;;;,,,,,,,
35,11,JAWA TIMUR,BONDOWOSO;;;;;;,,,,,,,
35,12,JAWA TIMUR,SITUBONDO;;;;;;,,,,,,,
35,13,JAWA TIMUR,PROBOLINGGO;;;;;;,,,,,,,
35,14,JAWA TIMUR,PASURUAN;;;;;;,,,,,,,
35,15,JAWA TIMUR,SIDOARJO;;;;;;,,,,,,,
35,16,JAWA TIMUR,MOJOKERTO;;;;;;,,1144018,112.426074,-7.467508,,,
35,17,JAWA TIMUR,JOMBANG;;;;;;,,1144018,112.149996,-7.429659,,,
35,18,JAWA TIMUR,NGANJUK;;;;;;,,1144018,111.888159,-7.604162,,,
35,19,JAWA TIMUR,MADIUN;;;;;;,,1144018,111.52908,-7.630911,,,
35,20,JAWA TIMUR,MAGETAN;;;;;;,,1144018,111.319225,-7.654009,,,
35,21,JAWA TIMUR,NGAWI;;;;;;,,114018,111.422236,-7.407891,,,
35,22,JAWA TIMUR,BOJONEGORO;;;;;;,,1144018,111.871531,-7.147364,,,
35,23,JAWA TIMUR,TUBAN;;;;;;,,1144018,112.044289,-6.892517,,,
35,24,JAWA TIMUR,LAMONGAN;;;;;;,,1144018,112.422279,-7.113414,,,
35,25,JAWA TIMUR,GRESIK;;;;;;,,1144018,112.651392,-7.165772,,,
35,26,JAWA TIMUR,BANGKALAN;;;;;;,,,,,,,
35,27,JAWA TIMUR,SAMPANG;;;;;;,,,,,,,
35,28,JAWA TIMUR,PAMEKASAN;;;;;;,,,,,,,
35,29,JAWA TIMUR,SUMENEP;;;;;;,,,,,,,
35,71,JAWA TIMUR,KEDIRI;;;;;;,,,,,,,
35,72,JAWA TIMUR,BLITAR;;;;;;,,,,,,,
35,73,JAWA TIMUR,MALANG;;;;;;,,,,,,,
35,74,JAWA TIMUR,PROBOLINGGO;;;;;;,,,,,,,
35,75,JAWA TIMUR,PASURUAN;;;;;;,,,,,,,
35,76,JAWA TIMUR,MOJOKERTO;;;;;;,,,,,,,
35,77,JAWA TIMUR,MADIUN;;;1144098;111527879;-7630911;,,,,,,,
35,78,JAWA TIMUR,SURABAYA;;;1144098;112745670;-7257927;,,,,,,,
35,79,JAWA TIMUR,BATU;;;1144098;112534161;-7881966;,,,,,,,
36,1,BANTEN,PANDEGLANG;;;1144098;106114254;-6326809;,,,,,,,
36,2,BANTEN,LEBAK;;;1144098;106234365;-6360833;,,,,,,,
36,3,BANTEN,TANGERANG;;;1144098;106485909;-6156607;,,,,,,,
36,4,BANTEN,SERANG;;;1144098;106108131;-6191190;,,,,,,,
36,71,BANTEN,TANGERANG;;;1144988;106648314;-6204330;,,,,,,,
36,72,BANTEN,CILEGON;;;1144098;106008973;-6003815;,,,,,,,
36,73,BANTEN,SERANG;;;1144098;106163139;-6109970;,,,,,,,
36,74,BANTEN,TANGERANG SELATAN;;;;;;,,,,,,,
51,1,BALI,JEMBRANA;;;;;;,,,,,,,
51,2,BALI,TABANAN;;;;;;,,,,,,,
51,3,BALI,BADUNG;;;;;;,,,,,,,
51,4,BALI,GIANYAR;;;;;;,,,,,,,
51,5,BALI,KLUNGKUNG;;;;;;,,,,,,,
51,6,BALI,BANGLI;;;;;;,,,,,,,
51,7,BALI,KARANG ASEM;;;;;;,,,,,,,
51,8,BALI,BULELENG;;;;;;,,,,,,,
51,71,BALI,DENPASAR;;;;;;,,,,,,,
52,1,NUSA TENGGARA BARAT,LOMBOK BARAT;;;;;;,,,,,,,
52,2,NUSA TENGGARA BARAT,LOMBOK TENGAH;;;;;;,,,,,,,
52,3,NUSA TENGGARA BARAT,LOMBOK TIMUR;;;;;;,,,,,,,
52,4,NUSA TENGGARA BARAT,SUMBAWA;;;;;;,,,,,,,
52,5,NUSA TENGGARA BARAT,DOMPU;;;;;;,,,,,,,
52,6,NUSA TENGGARA BARAT,BIMA;;;;;;,,,,,,,
52,7,NUSA TENGGARA BARAT,SUMBAWA BARAT;;;;;;,,,,,,,
52,8,NUSA TENGGARA BARAT,LOMBOK UTARA;;;;;;,,,,,,,
52,71,NUSA TENGGARA BARAT,MATARAM;;;;;;,,,,,,,
52,72,NUSA TENGGARA BARAT,BIMA;;;;;;,,,,,,,
53,1,NUSA TENGGARA TIMUR,SUMBA BARAT,1144044,119.969455,-9.701524,,,,
53,2,NUSA TENGGARA TIMUR,SUMBA TIMUR,1144044,120.241423,-9.910314,,,,
53,3,NUSA TENGGARA TIMUR,KUPANG,1144044,123.819927,-10.147714,,,,
53,4,NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,,,,,,,
53,4,NUSA TENGGARA TIMUR,TIMOR TENGGAH SELATAN,1144044,124.346068,-9.808553,,,,
53,5,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,1144044,124.322681,-9.862757,,,,
53,6,NUSA TENGGARA TIMUR,BELU,1144044,124.935451,-9.114892,,,,
53,7,NUSA TENGGARA TIMUR,ALOR,1144044,124.729395,-8.270135,,,,
53,8,NUSA TENGGARA TIMUR,LEMBATA,1144044,123.481079,-8.466348,,,,
53,9,NUSA TENGGARA TIMUR,FLORES TIMUR,1144044,122.815447,-8.359727;;;;;;,,,,
53,10,NUSA TENGGARA TIMUR,SIKKA,1144084,122.356095,-8.673345,,,,
53,11,NUSA TENGGARA TIMUR,ENDE,1144084,121.712774,-8.654108,,,,
53,12,NUSA TENGGARA TIMUR,NGADA,1144084,120.97803,-8.64727,,,,
